Comment Links,Comments,Date in Datetime Format,Likes,Post Date,Post Time,Posts,Reblogs,Unnamed: 0,User Links,User Names
https://weibo.cn/comment/xELYRB3OV?uid=1809621714&rl=1#cmtfrm,30.0,2012-01-01,0.0,2012-01-01,23:54:07,":亲戚在这个时候发挥了好大的作用,所有的嫁妆呀,箩担呀,提箱呀,挂红啊,贴喜呀,诸如此类的全部是都是两个大伯和伯娘,叔叔和婶婶,大佬和大嫂齐心协力弄好的.结个婚真不容易.夜已深,却不允许我关灯睡觉,天啊!这是一个多么让人纠结得夜晚啊!见光死怎么开灯睡觉?哎....安!明早就噔噔噔噔,从此被困.",0.0,,https://weibo.cn/casspass,helllokitty哈鲁凯蒂
https://weibo.cn/comment/xEVrCzdYs?uid=1278862923&rl=1#cmtfrm,1.0,2012-01-02,0.0,2012-01-02,23:59:41,:我应该许个愿：2012一个MOVE就闪婚！！婚完我看看还会不会那么纠结！,2.0,,https://weibo.cn/206237778,Im靓靓
https://weibo.cn/comment/xEVrCo98F?uid=1904485731&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:59:40,:昨天看了双城生活，太搞人了。两家人在婚前为了定是中午摆酒还是晚上摆酒又争吵想来了。北京的爸妈说：在北京二婚才在晚上摆酒，头婚必需中午摆。上海滴婆婆说：中午摆酒就让我跳黄浦江好了。哈哈哈哈,0.0,,https://weibo.cn/u/1904485731,刘丽君-LLJ
https://weibo.cn/comment/xEVrw3GYy?uid=1677108172&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:59:25,:其实我现在越来越能接受那些所谓曾经我不以为然的现实了，确实女人嫁一个可以让她不用每天为了生活质量而发愁的男人的确很重要，因为贫贱夫妻百事哀嘛，裸婚时代不就是个很好的例子嘛，我已慢慢理解了身边人对说的话…,0.0,,https://weibo.cn/u/1677108172,奔跑的鼻涕泡泡
https://weibo.cn/comment/xEVrrDc5I?uid=2384709540&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:59:15,:一杯花式咖啡，兩杯黃桃酸奶，三個談婚論嫁的女人。,0.0,,https://weibo.cn/u/2384709540,Sunnie-ing
https://weibo.cn/comment/xEVrnzJOA?uid=1883139310&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:59:05,:补图 阿玲大婚 祝愿他跟古龙永远幸福快乐,0.0,,https://weibo.cn/joejoeloveme,joejoeloveme
https://weibo.cn/comment/xEVrerOGv?uid=1876434282&rl=1#cmtfrm,2.0,2012-01-02,0.0,2012-01-02,23:58:40,:突然发现右下角多了个推荐微群叫“XX大学单身联盟”，显示说您有2位好友已加入。。十分好奇地点开来看结果发现。。。@大爺來聽妞blablablaing @RitaWang大凡 你们俩是有多无聊啊喂。。。特别是那个已经订了婚的你太无耻了。。对你们表示严肃地BS啊啊。。,0.0,,https://weibo.cn/emodee,一只和谐的蛇蝎点点
https://weibo.cn/comment/xEVraBe7h?uid=1236375074&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:58:34,:迷#Johnny Weir# 迷得欲罢不能[可怜的]！！！认识他竟是因为今天无意中在wb看到他的婚讯。。。囧哩个囧！！！总之，新婚快乐~\(≧▽≦)/~,0.0,,https://weibo.cn/aika223,aika醉醉哒
https://weibo.cn/comment/xEVr4160I?uid=1238588481&rl=1#cmtfrm,8.0,2012-01-02,0.0,2012-01-02,23:58:18,:大学毕业后的第二个年饭，大家聚在一起聊工作聊生活，八卦一年未见的时间里又有哪些老同学婚了恋了，时间褪去了我们的青涩，却从未曾削减我们彼此间的情谊，那四年我们相伴走过，且行且珍惜。,8.0,,https://weibo.cn/goodbyebyebye,AngryCats
https://weibo.cn/comment/xEVqBl9Zx?uid=2336452162&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:57:10,:今天cc大婚，恭祝他们百年好合！永远幸福！陪 完化妆后就感觉快要生病。在酒店迎宾被冷风吹了一小时，入席时发冷，很抱歉地离场，回到家就38.7度了。反复生病，好崩溃,0.0,,https://weibo.cn/u/2336452162,鲁西西的碎碎念
https://weibo.cn/comment/xEVqAvVVa?uid=2036719693&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:57:09,:哇偶！// 【帅哥的私密领地】 张一山《裸婚时代》110918 舞林大会 http://t.cn/SiyWFu http://t.cn/SiyWF3 --来自@人人小站,0.0,,https://weibo.cn/ywmagic,羊品臣
https://weibo.cn/comment/xEVqjnFH5?uid=1852268294&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:56:28,:【我一定会娶你】男：你放心！我一定会娶你的！一定会有个交待！女：得等到什么时候？男：快了！离了婚就娶你！女：你什么时候离？男：快了，我和她明年结婚！结完就离！女：啊？为什么还要等到明年结婚？男：快了，她今年还没离嘛！,0.0,,https://weibo.cn/castielliang,迷茫云中雾
https://weibo.cn/comment/xEVqjpwOt?uid=1970780625&rl=1#cmtfrm,1.0,2012-01-02,0.0,2012-01-02,23:56:28,:姐姐说：现在都没有激情了，那结了婚呢！别老拖着了，要学会放开，自己才能会有下一段感情！,0.0,,https://weibo.cn/u/1970780625,LOVEHong兰
https://weibo.cn/comment/xEVqhmk2q?uid=1793495987&rl=1#cmtfrm,11.0,2012-01-02,0.0,2012-01-02,23:56:19,:昨天亲爱的@虾虾加油 婚了。光荣地成为了我们220寝室第一个销出去的。虽然没有能去婚宴现场，但心底里是真心祝福她的。@Beeld 端哥，好好待她吧！相信你们会一直这样幸福下去的！,2.0,,https://weibo.cn/lovetracychan,折朵太阳花送给你
https://weibo.cn/comment/xEVqfbuXj?uid=1899003592&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:56:17,:哇塞……土了这么久 终于在看裸婚了 笑死了 笑到都哭了 哈哈哈哈,0.0,,https://weibo.cn/yangshanshan2233,足册足册
https://weibo.cn/comment/xEVqdvJXI?uid=1766398465&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:56:14,":我刚通过#猫小姐#，测出我是波斯猫,猫指数70%。@拉拉一枚 @MusicRadio音乐之声 @蔷薇的名字 @娜就杰婚吧JN @JN-小欢欢欢 测测你是哪样的猫小姐。测试地址>>:http://t.cn/Sbelbb",0.0,,https://weibo.cn/lanxingjie,我在这_蓝星杰
https://weibo.cn/comment/xEVpW6QKI?uid=1714123972&rl=1#cmtfrm,0.0,2012-01-02,0.0,2012-01-02,23:55:28,:泰米尔语影片மதராசபட்டினம்（马德拉斯往事）——故事发生在印度独立前夕。马德拉斯总督女儿Amy虽被指婚给军官Ellis，却在摄影采风中认识了善良勇敢的洗衣工青年Parithi。后者因反对殖民政府征地建造高尔夫球场而成为Ellis的眼中钉。两人历经磨难，最后却不得不面对印度独立日的到来。。。,2.0,,https://weibo.cn/eddiecai825,一碟胡萝卜
https://weibo.cn/comment/xF4S77qiz?uid=2024764230&rl=1#cmtfrm,2.0,2012-01-03,0.0,2012-01-03,23:59:40,:我快哭啦@金刚戒_钻石婚 在他们寝室KTV而且还是自嗨自唱…我想哭…大灰狼来啦,0.0,,https://weibo.cn/u/2024764230,暁暁暁会成长的
https://weibo.cn/comment/xF4S2eGtV?uid=2278489972&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:59:29,:#查娱欣闻# 问黄宗泽与杏儿感情如胶似漆，打算几时结婚？他坦白说两人未有结婚打算，但不排除会即兴闪婚，不过一定不会瞒婚，甚至会大肆庆祝。他机灵的说：“她要怎样搞也可以，我绝对配合。”包括支付所有开支。,0.0,,https://weibo.cn/u/2278489972,甜蜜的苗冰冰小朋友
https://weibo.cn/comment/xF4RA8FvF?uid=1226583723&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:58:22,:开机后连着打了两个多小时的电话 这年头男人都婚了女人都嫁了 想说知心话都不知找谁了,0.0,,https://weibo.cn/tinajingjing,tina_晶
https://weibo.cn/comment/xF4R57WSL?uid=1094452865&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:57:07,:很有意思的婚庆～叫鼓捣婚～,0.0,,https://weibo.cn/starvisionstudio,摄影师苏答
https://weibo.cn/comment/xF4R3fc33?uid=1710477544&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:57:03,:兩個月後就是我父母的三十週年珍珠婚大日子！我想為他們搞一個勁爆party!!!Hahaaaa,0.0,,https://weibo.cn/u/1710477544,Harr_yn_Hiu
